line,station,residence,year,price/sqm,ttl price
地铁2号线,钱江世纪城站,4室2厅 | 129.16平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,创世邸    -  钱江世纪城 ,单价89037元/平米,1150万
地铁2号线,钱江世纪城站,4室2厅 | 145.18平米 | 西南 南 | 毛坯 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价36955元/平米,536.5万
地铁2号线,钱江世纪城站,4室1厅 | 144.44平米 | 南 东 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价40156元/平米,580万
地铁2号线,钱江世纪城站,2室1厅 | 80.45平米 | 北 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价33562元/平米,270万
地铁2号线,钱江世纪城站,3室2厅 | 96.09平米 | 北 东北 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价31013元/平米,298万
地铁2号线,钱江世纪城站,4室1厅 | 89.2平米 | 东南 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价33633元/平米,300万
地铁2号线,钱江世纪城站,4室2厅 | 129.16平米 | 南 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价99102元/平米,1280万
地铁2号线,钱江世纪城站,4室2厅 | 168.96平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,创世邸    -  钱江世纪城 ,单价100616元/平米,1700万
地铁2号线,钱江世纪城站,4室2厅 | 118.33平米 | 南 东 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价98031元/平米,1160万
地铁2号线,钱江世纪城站,3室4厅 | 90.24平米 | 北 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价62057元/平米,560万
地铁2号线,钱江世纪城站,4室2厅 | 97.22平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价42687元/平米,415万
地铁2号线,钱江世纪城站,2室2厅 | 143.5平米 | 南 西南 | 毛坯 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价35541元/平米,510万
地铁2号线,钱江世纪城站,4室2厅 | 146.79平米 | 西南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价38014元/平米,558万
地铁2号线,钱江世纪城站,2室2厅 | 80.45平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价38534元/平米,310万
