area_total,area_use,community_name,direction,floor,house_name,house_record,house_type,house_usage,house_years,images_urls,is_left,last_trade_time,left_rate,location,pawn,property_own,release_date,structure,sub_info,total_amount,total_floors,trade_property,unit_price
60.53,56.57,八卦新村,南,中楼层 (共7层),复兴八卦田边，满五，方正两房，精装，层好，采光足！_杭州上城复兴八卦新村二手房(杭州链家),103107823569,2室1厅1厨1卫,普通住宅,满五年,"https://image1.ljcdn.com/110000-inspection/eda0010c-d85b-4ad1-b175-609ed920edd4.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc1_CZ4zNpyKK.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_4m2tya98K.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_2572bbcb-afd3-448a-969b-5fbed43d36f9.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/87322122-4fd5-41aa-bcce-5c2f26b8a753.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_Z9Syj8b7g.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_DypH5qmBx.jpg.1420x800.jpg",无,2011-06-03,一梯两户, ,无抵押,共有,2020-03-01,,精装,245,7,已购公房,40476
82.55,,越秀星汇悦城,南,高楼层 (共27层),越秀品质小区刚需三房精装修带地暖房东诚心出售_杭州余杭良渚越秀星汇悦城二手房(杭州链家),103115625403,3室2厅1厨1卫,普通住宅,满两年,"https://image1.ljcdn.com/110000-inspection/pc1_pK6zSGpN1_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_ckdqkkT7d_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_S5OBO5IRl_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_9351a66f-990b-4fb2-ab63-e1e1153ba4e2.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_CBSzxdeJt_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_nOx6m975m_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_MOnLJ8l25_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_cYHfbST99_1.jpg.1420x800.jpg",有,2017-09-05,三梯四户, ,有抵押57万元兴业银行业主自还,非共有,2021-06-18,,精装,345,27,商品房,41793
136.24,,宋都晨光国际,南,中楼层 (共41层),边套精装拎包入住中高楼层。_杭州钱塘区沿江南宋都晨光国际二手房(杭州链家),103115529905,3室2厅1厨2卫,普通住宅,满两年,"https://image1.ljcdn.com/110000-inspection/pc1_JnGY8LEO2_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_YmOqNTI70_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_Jr8sgOqWZ_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_572e1987-c970-4ffb-88b0-42c1b3448f2d.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_WfPWdzrp0_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_7tXEMdLfz_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_lgQfbSpVK_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_u5PlL5DQv_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_Gn0Hsi7CD_1.jpg.1420x800.jpg",有,2017-04-21,三梯三户, ,有抵押,共有,2021-06-12,,精装,415,41,商品房,30461
62.98,,三里亭苑四区,南,高楼层 (共7层),婚房精装两房朝南满五年诚心卖_杭州江干三里亭三里亭苑四区二手房(杭州链家),103115704234,2室1厅1厨1卫,普通住宅,满五年,"https://image1.ljcdn.com/110000-inspection/pc1_c6y2jidFW_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_M8JtjxwgT_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_imjOu2wCQ_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_a6ff9bef-82a8-424b-9083-f46b2025a1b5.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_sZYQgQJRk_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_XtHExZhse_1.jpg.1420x800.jpg",无,2005-10-12,一梯四户, ,无抵押,共有,2021-06-22,,精装,230,7,商品房,36520
153.66,,城发云锦城,南,中楼层 (共23层),城发云锦城中间楼层西边套采光视野好业主诚心卖_杭州江干丁桥城发云锦城二手房(杭州链家),103115607691,4室2厅1厨2卫,普通住宅,满两年,"https://image1.ljcdn.com/110000-inspection/apc_CENGkB1k1_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_iDHFb6ssG_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_f9c0f321-53ad-4750-84e7-dbae3e1a9195.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_3AWctBLqF_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_0WPbkD6ve_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_Byyin3GDP_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_QCZpLs5A4_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_b9OTqYgsk_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_DeCPEDejU_1.jpg.1420x800.jpg",有,2017-06-30,两梯两户, ,有抵押中国银行股份有限公司杭州拱北支行业主自还,共有,2021-06-16,,简装,378,23,商品房,24600
89.61,,中国铁建保利像素,南,中楼层 (共33层),婚房自住精装！东边套三房两卫！中间楼层！采光视野好_杭州钱塘区大学城北中国铁建保利像素二手房(杭州链家),103115537177,3室2厅1厨2卫,普通住宅,满两年,"https://image1.ljcdn.com/110000-inspection/pc1_w3CU7e1zq_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_8Rfmye503_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_1lGGRKtcF_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_91e4d8cb-a249-4214-b61d-7ef68edc05ba.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_019Ab1rP3_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_6BZFeGuIP_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_x0q9t9AiT_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_XjAALpWeS_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_BRbRy1FR1_1.jpg.1420x800.jpg",有,2019-05-29,两梯四户, ,有抵押80万元,非共有,2021-06-12,,精装,275,33,商品房,30689
89.13,70.83,中铁九逸,南,中楼层 (共24层),中间套，楼层好，户型方正，房东诚心出售_杭州临平区临平中铁九逸二手房(杭州链家),103115530951,3室2厅1厨1卫,普通住宅,满两年,"https://image1.ljcdn.com/110000-inspection/pc1_UuxXYw8P7_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_H8RMdIKOK_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_RBmBPl3cV_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_70629e6f-18f6-4231-a718-e9874fdb0794.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_GtTIPvxIH_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_3TfLgVLAS_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_XmpJcpumO_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_3zkPHEROA_1.jpg.1420x800.jpg",有,2019-06-03,两梯四户, ,有抵押47万元中信银行业主自还,非共有,2021-06-12,,毛坯,220,24,商品房,24684
62.97,,郡枫绿园东区,南 北,中楼层 (共14层),新上郡枫绿园两室自住装修满五唯一_杭州江干丁桥郡枫绿园东区二手房(杭州链家),103115675802,2室1厅1厨1卫,普通住宅,满五年,"https://image1.ljcdn.com/110000-inspection/pc0_F50UoATN9_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_dZQouIQC7_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_04bc2cdb-b376-4d49-acb6-2195cbb7636c.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_UMzJSykZh_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_wqmiW56mv_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_lXSJF61vu_1.jpg.1420x800.jpg",有,2015-04-21,两梯四户, ,无抵押,共有,2021-06-20,,精装,208,14,商品房,33032
61.62,48.65,都市阳光嘉苑,南,中楼层 (共18层),都市阳光嘉苑2室1厅南_杭州西湖良渚都市阳光嘉苑二手房(杭州链家),103115645461,2室1厅1厨1卫,普通住宅,满两年,"https://image1.ljcdn.com/110000-inspection/7bdd4624-a7ea-4865-b87a-c3ef5200b292_1000.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_j4vz7qnCs_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_VBt95q962_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_3cc494ca-f391-4bec-bb02-55c1e2b88015.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_UXItUgZ3Y_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/976db76a-4ceb-4ff1-88e4-34c46c832162_1000.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_J8DXG6K8D_1.jpg.1420x800.jpg",有,2017-08-21,两梯四户, ,无抵押,共有,2021-06-19,,精装,215,18,商品房,34892
89.2,68.02,银爵世纪公寓,南,中楼层 (共31层),地铁口精装两房朝南户型，拎包入住_杭州滨江浦沿银爵世纪公寓二手房(杭州链家),103115667381,2室2厅1厨1卫,普通住宅,满五年,"https://image1.ljcdn.com/110000-inspection/pc0_aknip1fXN_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/apc_IKaMuEFYg_1.jpg.1420x800.jpg,https://image1.ljcdn.com/x-se/hdic-frame/standard_db8874c8-221c-418a-9a1c-41b06cbe6505.png.1066x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_6IBvsC7T1_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_MdZYQYLCQ_1.jpg.1420x800.jpg,https://image1.ljcdn.com/110000-inspection/pc0_xO7gTuDEW_1.jpg.1420x800.jpg",有,2013-01-11,两梯四户, ,有抵押80万元业主自还,非共有,2021-06-20,,精装,345,31,商品房,38678
