Latitude,area,average_price,city,community,focus_num,houseInfo,link,model,price,time,title,watch_num
"120.11235,30.289709", 91.4平米 ,单价54705元/平米,西湖,金成花园 ,14人关注 ,3室2厅 | 91.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,https://hz.lianjia.com/ershoufang/103115607736.html,3室2厅 ,500, 12天以前发布,金成中间楼层，满五年，小孩已经毕业诚心卖,
"120.100671,30.318323", 86.64平米 ,单价26778元/平米,西湖,城北商贸园 ,4人关注 ,3室1厅 | 86.64平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,https://hz.lianjia.com/ershoufang/103115650281.html,3室1厅 ,232, 9天以前发布,城北商贸园急售房！业主急售！急售！急售！！！,
"119.545706,29.908285", 231.04平米 ,单价9955元/平米,桐庐,水岸瑶琳 ,57人关注 ,5室3厅 | 231.04平米 | 南 北 | 毛坯 | 3层  | 塔楼 | 联排别墅 ,https://hz.lianjia.com/ershoufang/103112100151.html,5室3厅 ,230, 7个月以前发布,房东急售看房方便价格好说联排别墅迎面亚运会跑马场,
"120.093418,30.328252", 67.68平米 ,单价33245元/平米,西湖,新星小区 ,9人关注 ,3室1厅 | 67.68平米 | 南 | 简装 | 5层  | 板楼,https://hz.lianjia.com/ershoufang/103115703350.html,3室1厅 ,225, 6天以前发布,新星小区 3室1厅 南,
"119.611895,29.847972", 120.86平米 ,单价6041元/平米,桐庐,临嘉公寓 ,34人关注 ,2室2厅 | 120.86平米 | 南 | 毛坯 | 5层  | 板楼,https://hz.lianjia.com/ershoufang/103111557882.html,2室2厅 ,73, 8个月以前发布,桐庐住宅   带大跃层  毛坯新房  交通便利,
"119.835971,30.25098", 129.34平米 ,单价17783元/平米,临安,青山鹤岭 ,1人关注 ,3室1厅 | 129.34平米 | 东 东南 | 毛坯 | 中楼层(共11层)  | 板塔结合,https://hz.lianjia.com/ershoufang/103115714351.html,3室1厅 ,230, 5天以前发布,70年产权，山景房，地上集团打造。,
"119.144038,29.615505", 151.73平米 ,单价28340元/平米,淳安,金基观岛 ,11人关注 ,5室2厅 | 151.73平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,https://hz.lianjia.com/ershoufang/103111032497.html,5室2厅 ,430, 9个月以前发布,精装修 临湖排屋 大花园 总价低 看房方便,
"120.097623,30.285112", 82.64平米 ,单价59294元/平米,西湖,府新花园西区 ,4人关注 ,3室1厅 | 82.64平米 | 南 西 北 | 精装 | 中楼层(共6层)  | 板楼,https://hz.lianjia.com/ershoufang/103115455514.html,3室1厅 ,490, 21天以前发布,此房满五，楼层好，位置好，有储藏室，诚心出售,
"119.696202,29.791342", 105.32平米 ,单价14433元/平米,桐庐,世纪花城 ,0人关注 ,3室2厅 | 105.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,https://hz.lianjia.com/ershoufang/103115299780.html,3室2厅 ,152, 29天以前发布,世纪花城 3室2厅 南 北,
"119.827586,30.268679", 134.66平米 ,单价23764元/平米,临安,星汇花园 ,0人关注 ,3室2厅 | 134.66平米 | 南 西南 | 精装 | 32层  | 板楼,https://hz.lianjia.com/ershoufang/103115670969.html,3室2厅 ,320, 8天以前发布,宝龙旁 精装修拎包入住 字母车位的,
"119.144038,29.615505", 151.73平米 ,单价21025元/平米,淳安,金基观岛 ,21人关注 ,5室2厅 | 151.73平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,https://hz.lianjia.com/ershoufang/103110736120.html,5室2厅 ,319, 10个月以前发布,金基观岛庭院排屋 大花园 业主诚心出售！,
"120.093418,30.328252", 69.45平米 ,单价33838元/平米,西湖,新星小区 ,19人关注 ,3室1厅 | 69.45平米 | 南 北 | 简装 | 5层  | 板楼,https://hz.lianjia.com/ershoufang/103115430806.html,3室1厅 ,235, 22天以前发布,新星小区，三房总价低，价格可谈，诚心出售,
