web-scraper-order,web-scraper-start-url,title,house,totalPrice,unitPrice,area,houseInfo
"1624764807-8308","https://hz.lianjia.com/ershoufang/yuhang/pg69","大三房两卫，楼层采光无影响，万科物业。","亿丰蔚蓝郡","330万","单价39035元/平米","良渚","3室2厅 | 84.54平米 | 南 | 精装 | 23层  | 板塔结合"
"1624764765-7926","https://hz.lianjia.com/ershoufang/yuhang/pg82","湖景房 楼层好  朝南 精装修 交通便利  房东诚心出售","江南新港公寓","285万","单价23715元/平米","闲林","3室2厅 | 120.18平米 | 西南 北 | 精装 | 高楼层(共16层)  | 板楼"
"1624764867-8856","https://hz.lianjia.com/ershoufang/yuhang/pg51","电梯房，河景房，西边套，得房率高","岸上蓝山","300万","单价35605元/平米","闲林","2室2厅 | 84.26平米 | 南 | 简装 | 低楼层(共11层)  | 板楼"
"1624764790-8179","https://hz.lianjia.com/ershoufang/yuhang/pg74","位置安静　楼层好　远离高架　国道","和昌府","330万","单价37936元/平米","良渚","3室2厅 | 86.99平米 | 南 | 毛坯 | 18层  | 板楼"
"1624764857-8764","https://hz.lianjia.com/ershoufang/yuhang/pg54","满五年不唯一，边套户型，中间楼层","爵士风情花园","330万","单价26562元/平米","闲林","3室2厅 | 124.24平米 | 南 北 | 毛坯 | 6层  | 板楼"
"1624764851-8705","https://hz.lianjia.com/ershoufang/yuhang/pg56","房子满五唯一自住精装修，中间楼层采光好，诚心出售","新西湖小镇","280万","单价31585元/平米","闲林","2室2厅 | 88.65平米 | 南 | 精装 | 27层  | 板楼"
"1624764857-8767","https://hz.lianjia.com/ershoufang/yuhang/pg54","户型很好 三开间朝 房子满五年看房方便 诚心出售","闲林山水木兰苑","350万","单价28160元/平米","闲林","3室2厅 | 124.29平米 | 南 | 精装 | 5层  | 板塔结合"
"1624764904-9208","https://hz.lianjia.com/ershoufang/yuhang/pg39","绿城物业 自住装修复式房，四房 四阳台 满五年","绿城桃源小镇","340万","单价36973元/平米","闲林","4室2厅 | 91.96平米 | 南 | 简装 | 31层  | 板塔结合"
"1624764879-8976","https://hz.lianjia.com/ershoufang/yuhang/pg47","满五大三房，楼层位置好，小区生活配套齐全","竹海水韵","480万","单价29559元/平米","闲林","3室2厅 | 162.39平米 | 东 南 | 精装 | 中楼层(共4层)  | 板塔结合"
"1624764956-9671","https://hz.lianjia.com/ershoufang/yuhang/pg24","三房一卫，精装修，视野开阔，采光充足，配套齐全","雅居乐国际花园","312万","单价35013元/平米","闲林","3室2厅 | 89.11平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼"
"1624764810-8346","https://hz.lianjia.com/ershoufang/yuhang/pg68","庭院深深，西边套 两房朝南 未来科技城南板块","庭院深深","320万","单价37102元/平米","未来科技城","3室2厅 | 86.25平米 | 南 北 | 精装 | 18层  | 板楼"
"1624764821-8451","https://hz.lianjia.com/ershoufang/yuhang/pg65","中高楼层，小区中间楼幢，视野开阔，采光好","万科北宸之光一期","360万","单价41470元/平米","万达广场","3室1厅 | 86.81平米 | 南 | 精装 | 28层  | 板楼"
"1624764821-8428","https://hz.lianjia.com/ershoufang/yuhang/pg65","万科物业，全套齐全，得房率高，小区环境好       ，","亿丰蔚蓝郡","340万","单价39266元/平米","良渚","3室2厅 | 86.59平米 | 南 | 精装 | 18层  | 板塔结合"
"1624764831-8535","https://hz.lianjia.com/ershoufang/yuhang/pg62","本房是高楼层，好视野，绿城物业，诚心出售","新湖果岭","458万","单价52040元/平米","未来科技城","3室2厅 | 88.01平米 | 南 | 精装 | 低楼层(共32层)  | 板楼"
"1624764983-9904","https://hz.lianjia.com/ershoufang/yuhang/pg16","此房满五年，精装出售，方正户型，可以拎包入住","同城印象花苑西区","314万","单价37682元/平米","未来科技城","2室2厅 | 83.33平米 | 南 | 精装 | 6层  | 板楼"
"1624764746-7780","https://hz.lianjia.com/ershoufang/yuhang/pg87","三房两卫户型，通透性好，双阳台，视野开阔，采光好","卓越蔚蓝领秀二期","233万","单价25921元/平米","星桥","3室2厅 | 89.89平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼"
"1624764804-8273","https://hz.lianjia.com/ershoufang/yuhang/pg70","绿城桃源小镇小区得房率高，环境优美，成熟社区","绿城桃源小镇品霞苑","420万","单价33662元/平米","闲林","4室2厅 | 124.77平米 | 东 南 北 | 毛坯 | 低楼层(共20层)  | 板塔结合"
"1624764987-9937","https://hz.lianjia.com/ershoufang/yuhang/pg15","房东自住装修，诚心出售，不靠高架，楼层中间","庭院深深","247万","单价29486元/平米","未来科技城","2室2厅 | 83.77平米 | 南 | 精装 | 18层  | 板楼"
"1624764882-8999","https://hz.lianjia.com/ershoufang/yuhang/pg46","装修一级，拎包入住，东边套，大露台，朝北大花园","绿城桃源小镇","1187万","单价40221元/平米","闲林","4室2厅 | 295.12平米 | 南 北 | 精装 | 4层  | 板楼 | 联排别墅"
"1624764936-9496","https://hz.lianjia.com/ershoufang/yuhang/pg30","湖景房视野好采光好诚心出售看房方便","江南新港公寓","252万","单价29272元/平米","闲林","3室2厅 | 86.09平米 | 南 | 简装 | 中楼层(共16层)  | 板楼"
"1624764750-7794","https://hz.lianjia.com/ershoufang/yuhang/pg86","地铁口约200米，三房两卫，客厅带阳台，高楼层","融创金成英特学府","385万","单价43627元/平米","未来科技城","3室2厅 | 88.25平米 | 南 | 毛坯 | 18层  | 板塔结合"
"1624764837-8576","https://hz.lianjia.com/ershoufang/yuhang/pg60","配套成熟 不靠高架 位置安静 精装修 诚心出售","景瑞御蓝湾","350万","单价39326元/平米","未来科技城","3室2厅 | 89平米 | 南 | 精装 | 24层  | 板楼"
