city,community,distance,houseInfo,link,price,time,title
闲林,余杭闲林竹海水韵,4.235,--85.79㎡南北2室2厅1卫,/zufang/HZ2799856465135796224.html,3000,5天前维护,整租·竹海水韵 2室2厅 南/北
闲林,,,23.00㎡1间在租1室1厅1卫,/apartment/17959.html,2061,6天前维护,独栋·柚米国际社区 杭州西溪湿地店 舒适特惠一居 1室1厅
,,,未来科技城区域优质商家，租房更省心,,,,
闲林,余杭闲林东海·闲湖城,5.161,--89.00㎡南北2室1厅1卫,/zufang/HZ2800654387910295552.html,3900,今天维护,整租·东海·闲湖城 2室1厅 南/北
,余杭未来科技城湖山帝景湾南苑,,--89.00㎡南3室2厅1卫,,,,整租·湖山帝景湾南苑 3室2厅 南
未来科技城,,,40.00-58.00㎡2间在租1室1厅1卫,/apartment/13716.html,2800-3000,25天前维护,独栋·泊寓 泊寓AI小镇社区 都市loft-秒杀 1室1厅
闲林,,,20.00㎡1间在租1室1厅1卫,/apartment/17959.html,1546,2天前维护,独栋·柚米国际社区 杭州西溪湿地店 特价小户型 1室1厅
,余杭未来科技城新湖果岭,,--88.00㎡南3室2厅1卫,,,,整租·新湖果岭 3室2厅 南
未来科技城,,,63.00㎡1间在租1室1厅1卫,/apartment/26260.html,6232,1天前维护,独栋·方隅公寓 杭州方隅公寓 杭师大旁网红公寓一居 1室1厅
闲林,余杭闲林爵士风情花园,4.459,--112.93㎡南北2室2厅2卫,/zufang/HZ2801294225109958656.html,3500,2天前维护,整租·爵士风情花园 2室2厅 南/北
,余杭未来科技城合景天峻,,--124.00㎡南北4室2厅2卫,,,,整租·合景天峻 4室2厅 南/北
未来科技城,,,31.00㎡1间在租1室0厅1卫,/apartment/23519.html,2480,1个月前维护,独栋·优家社区 杭州余杭区文一西路1500号科创中心7号楼 拎包入住 高颜值邻居 开间
闲林,余杭闲林闲林山水紫薇苑,5.25,精选--16.00㎡南4室1厅2卫,/zufang/HZ2739855348939890688.html,1190,6天前维护,合租·闲林山水紫薇苑 4居室 南卧
,余杭未来科技城湖山帝景湾,,--139.89㎡南北4室1厅2卫,,,,整租·湖山帝景湾 4室1厅 南/北
,余杭未来科技城新湖菲林山,,--90.00㎡南3室2厅1卫,,,,整租·新湖菲林山 3室2厅 南
,余杭未来科技城华夏四季,,--139.00㎡南北4室2厅3卫,,,,整租·华夏四季 4室2厅 南/北
未来科技城,余杭未来科技城富力西溪悦居,4.157,--139.00㎡南3室2厅2卫,/zufang/HZ2771611060505935872.html,8500,3天前维护,整租·富力西溪悦居 3室2厅 南
闲林,余杭闲林竹海水韵,4.235,--163.00㎡东南南3室2厅2卫,/zufang/HZ2802708495873884160.html,4500,2天前维护,整租·竹海水韵 3室2厅 东南/南
未来科技城,余杭未来科技城欧美金融城,1.901,--72.00㎡南2室1厅1卫,/zufang/HZ2771596689050705920.html,6800,2天前维护,整租·欧美金融城 2室1厅 南
,余杭闲林绿城桃源小镇,,--250.00㎡南5室2厅3卫,,,,整租·绿城桃源小镇 5室2厅 南
,余杭闲林佳兆业西溪璞园,,--89.00㎡南3室2厅1卫,,,,整租·佳兆业西溪璞园 3室2厅 南
,余杭闲林融创金成江南府,,--89.00㎡南3室2厅2卫,,,,整租·融创金成江南府 3室2厅 南
闲林,余杭闲林岸上蓝山,5.208,精选--20.00㎡南4室1厅2卫,/zufang/HZ2739885813470076928.html,1360,6天前维护,合租·岸上蓝山 4居室 南卧
未来科技城,,,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,1500-1900,19天前维护,独栋·途步酒店式公寓 余勋工业园店 未来科技城精装公寓 开间
