advertisement,city,community,distance,houseInfo,link,price,time,title
0,,余杭闲林东海·闲湖城,,--117.00㎡东南北3室2厅2卫,,,,整租·东海·闲湖城 3室2厅 东/南/北
1,闲林,柚米国际社区,1137.634,23.00㎡1间在租1室1厅1卫,/apartment/17959.html,,6天前维护,独栋·柚米国际社区 杭州西溪湿地店 舒适特惠一居 1室1厅
1,,,,未来科技城区域优质商家，租房更省心,,,,
0,,余杭闲林东海·闲湖城,,--89.00㎡南3室1厅1卫,,,,整租·东海·闲湖城 3室1厅 南
1,闲林,柚米国际社区,1137.634,20.00㎡1间在租1室1厅1卫,/apartment/17959.html,,2天前维护,独栋·柚米国际社区 杭州西溪湿地店 特价小户型 1室1厅
0,,余杭未来科技城融创金成英特学府,,--123.54㎡南西北4室2厅2卫,,,,整租·融创金成英特学府 4室2厅 南/西/北
1,未来科技城,泊寓,1108.803,40.00-58.00㎡2间在租1室1厅1卫,/apartment/13716.html,,25天前维护,独栋·泊寓 泊寓AI小镇社区 都市loft-秒杀 1室1厅
0,,余杭闲林中港罗兰小镇,,--89.00㎡南3室2厅2卫,,,,整租·中港罗兰小镇 3室2厅 南
0,闲林,余杭闲林闲林山水紫薇苑,5.25,精选--16.00㎡南4室1厅2卫,/zufang/HZ2739855348939890688.html,1190,6天前维护,合租·闲林山水紫薇苑 4居室 南卧
0,,余杭未来科技城同城印象花苑西区,,--160.83㎡南4室2厅2卫,,,,整租·同城印象花苑西区 4室2厅 南
1,未来科技城,方隅公寓,173.751,63.00㎡1间在租1室1厅1卫,/apartment/26260.html,,2天前维护,独栋·方隅公寓 杭州方隅公寓 杭师大旁网红公寓一居 1室1厅
0,,余杭闲林恒厚阳光城,,--83.39㎡南3室2厅1卫,,,,整租·恒厚阳光城 3室2厅 南
0,,余杭闲林融创金成未来海,,--89.00㎡东南3室2厅2卫,,,,整租·融创金成未来海 3室2厅 东南
0,,余杭闲林雅居乐国际花园,,--127.00㎡东南4室1厅2卫,,,,整租·雅居乐国际花园 4室1厅 东/南
0,,余杭闲林赞成乐山红叶,,--129.00㎡南3室2厅2卫,,,,整租·赞成乐山红叶 3室2厅 南
0,,余杭未来科技城欣龙华府公寓,,--130.00㎡南3室2厅2卫,,,,整租·欣龙华府公寓 3室2厅 南
1,未来科技城,优家社区,183.539,31.00㎡1间在租1室0厅1卫,/apartment/23519.html,,1个月前维护,独栋·优家社区 杭州余杭区文一西路1500号科创中心7号楼 拎包入住 高颜值邻居 开间
0,闲林,余杭闲林岸上蓝山,5.208,精选--20.00㎡南4室1厅2卫,/zufang/HZ2739885813470076928.html,1360,6天前维护,合租·岸上蓝山 4居室 南卧
0,,余杭未来科技城中南樾府,,--128.00㎡南4室2厅2卫,,,,整租·中南樾府 4室2厅 南
0,,余杭未来科技城众安学君里,,--89.00㎡南3室2厅1卫,,,,整租·众安学君里 3室2厅 南
0,,余杭未来科技城华夏四季,,--169.49㎡南4室2厅3卫,,,,整租·华夏四季 4室2厅 南
0,,余杭未来科技城青枫墅园,,--235.45㎡东东南5室2厅4卫,,,,整租·青枫墅园 5室2厅 东/东南
0,,余杭闲林岸上蓝山,,--220.00㎡南北3室2厅2卫,,,,整租·岸上蓝山 3室2厅 南/北
0,闲林,余杭闲林岸上蓝山,5.208,精选--12.00㎡南5室1厅2卫,/zufang/HZ2739885581021749248.html,1060,6天前维护,合租·岸上蓝山 5居室 南卧
0,,余杭未来科技城青枫墅园,,--183.52㎡南5室3厅3卫,,,,整租·青枫墅园 5室3厅 南
1,未来科技城,途步酒店式公寓,168.367,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,,19天前维护,独栋·途步酒店式公寓 余勋工业园店 未来科技城精装公寓 开间
0,,余杭闲林融创金成江南府,,--89.57㎡南3室2厅2卫,,,,整租·融创金成江南府 3室2厅 南
0,,余杭闲林竹海水韵,,--141.72㎡南3室2厅2卫,,,,整租·竹海水韵 3室2厅 南
0,,余杭闲林乐山嘉苑,,--160.00㎡南4室1厅2卫,,,,整租·乐山嘉苑 4室1厅 南
0,,余杭闲林绿城桃源小镇,,--278.00㎡南北6室3厅3卫,,,,整租·绿城桃源小镇 6室3厅 南/北
0,,余杭闲林绿城桃源小镇,,--130.00㎡南4室2厅2卫,,,,整租·绿城桃源小镇 4室2厅 南
0,,余杭闲林怡景花城,,--176.45㎡南6室2厅3卫,,,,整租·怡景花城 6室2厅 南
0,,余杭闲林融创金成西溪海,,--131.70㎡南4室2厅2卫,,,,整租·融创金成西溪海 4室2厅 南
0,,余杭未来科技城富力新线公园,,--133.00㎡东4室2厅2卫,,,,整租·富力新线公园 4室2厅 东
1,未来科技城,途步酒店式公寓,168.367,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,,19天前维护,独栋·途步酒店式公寓 余勋工业园店 人工智能小镇旁 开间
0,闲林,余杭闲林闲林山水海棠苑,5.425,精选--15.00㎡南6室1厅4卫,/zufang/HZ2739862061294567424.html,1690,6天前维护,合租·闲林山水海棠苑 6居室 跃层 南卧
0,,余杭未来科技城新湖菲林山,,--118.00㎡东南4室2厅2卫,,,,整租·新湖菲林山 4室2厅 东南
0,,余杭未来科技城阳光城未来悦MAX,,--112.03㎡南4室2厅2卫,,,,整租·阳光城未来悦MAX 4室2厅 南
0,未来科技城,余杭未来科技城西溪永乐城,1.865,--107.00㎡南4室2厅2卫,/zufang/HZ2779102759713521664.html,7000,1天前维护,整租·西溪永乐城 4室2厅 南
0,,余杭闲林新西湖小镇,,--69.00㎡南2室1厅1卫,,,,整租·新西湖小镇 2室1厅 南
0,闲林,余杭闲林竹海水韵,4.235,精选--15.00㎡南5室1厅2卫,/zufang/HZ2738481847138000896.html,1230,6天前维护,合租·竹海水韵 5居室 南卧
0,,余杭未来科技城合景映月台,,--120.00㎡南4室2厅2卫,,,,整租·合景映月台 4室2厅 南
0,,余杭未来科技城复地上城,,--89.48㎡南3室2厅1卫,,,,整租·复地上城 3室2厅 南
0,未来科技城,余杭未来科技城中南未来里,5.628,--35.00㎡西2室2厅2卫,/zufang/HZ2810978982114099200.html,3200,6天前维护,合租·中南未来里 2居室 西卧
0,,余杭闲林东海·闲湖城,,--200.00㎡南5室2厅4卫,,,,整租·东海·闲湖城 5室2厅 南
0,闲林,余杭闲林爵士风情花园,4.459,精选--10.00㎡北4室1厅2卫,/zufang/HZ2826087002728824832.html,990,1天前维护,合租·爵士风情花园 4居室 北卧
1,未来科技城,FUNLIVE方隅,1115.825,43.00㎡5间在租1室0厅1卫,/apartment/27915.html,,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里高档一室独卫独厨 开间
0,,余杭闲林荆山翠谷,,--242.00㎡南5室3厅3卫,,,,整租·荆山翠谷 5室3厅 跃层 南
0,闲林,余杭闲林竹海水韵春风里,4.035,精选--15.60㎡东5室1厅2卫,/zufang/HZ2379881810596470784.html,1230,1天前维护,合租·竹海水韵春风里 5居室 东卧
0,,余杭未来科技城西溪永乐城,,--49.95㎡北1室1厅1卫,,,,整租·西溪永乐城 1室1厅 北
1,未来科技城,FUNLIVE方隅,1115.825,65.00㎡4间在租1室1厅1卫,/apartment/27915.html,,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里贝达一室一厅整租 1室1厅
1,未来科技城,FUNLIVE方隅,1115.825,65.00㎡3间在租1室1厅1卫,/apartment/27915.html,,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 杭师阿里一室一厅整租 1室1厅
1,闲林,美好生活公寓,7.643,70.00-73.00㎡2间在租2室2厅1卫,/apartment/38361.html,,今天维护,独栋·美好生活公寓 绿城闲林店 经典网红两居 2室2厅
0,,余杭未来科技城禹航路,,--98.00㎡南3室2厅1卫,,,,整租·禹航路 3室2厅 南
1,未来科技城,FUNLIVE方隅,1115.825,43.00㎡1间在租1室0厅1卫,/apartment/27915.html,,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 贝达高档一室整租 开间
1,闲林,美好生活公寓,7.643,91.00-93.00㎡3间在租3室2厅2卫,/apartment/38361.html,,今天维护,独栋·美好生活公寓 绿城闲林店 豪华超大三居室 3室2厅
1,未来科技城,FUNLIVE方隅,1115.825,40.00-43.00㎡2间在租1室0厅1卫,/apartment/27915.html,,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 高档整租一室独卫独厨 开间
0,,余杭闲林雅居乐国际花园,,--89.00㎡南3室2厅2卫,,,,整租·雅居乐国际花园 3室2厅 南
1,未来科技城,FUNLIVE方隅,1115.825,60.00-65.00㎡4间在租1室1厅1卫,/apartment/27915.html,,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里高档一室一厅 1室1厅
0,未来科技城,余杭未来科技城富力十号一期,3.722,精选--54.00㎡北1室2厅1卫,/zufang/HZ2827267599841640448.html,4490,今天维护,整租·富力十号一期 1室2厅 北
0,,余杭闲林怡景花城,,--223.00㎡南5室2厅3卫,,,,整租·怡景花城 5室2厅 南
1,闲林,美好生活公寓,7.643,90.00㎡3间在租3室2厅2卫,/apartment/38361.html,,今天维护,独栋·美好生活公寓 绿城闲林店 日系实木大三居 3室2厅
0,未来科技城,余杭未来科技城富力十号一期,3.722,精选--61.66㎡北1室1厅1卫,/zufang/HZ2796788985886941184.html,4490,今天维护,整租·富力十号一期 1室1厅 北
1,未来科技城,方隅公寓,173.751,63.00㎡1间在租1室1厅1卫,/apartment/26260.html,,2天前维护,独栋·方隅公寓 杭州方隅公寓 亲橙客栈对面朝南一居 1室1厅
0,,余杭闲林绿城桃源小镇品霞苑,,--89.00㎡南3室1厅1卫,,,,整租·绿城桃源小镇品霞苑 3室1厅 南
0,,余杭闲林爵士风情花园,,--109.42㎡南3室2厅1卫,,,,整租·爵士风情花园 3室2厅 南
0,,余杭闲林绿城桃源小镇,,--89.00㎡南北3室2厅1卫,,,,整租·绿城桃源小镇 3室2厅 南/北
0,,余杭闲林新西湖小镇,,--79.35㎡南2室2厅1卫,,,,整租·新西湖小镇 2室2厅 南
1,未来科技城,方隅公寓,173.751,63.00㎡2间在租1室1厅1卫,/apartment/26260.html,,2天前维护,独栋·方隅公寓 杭州方隅公寓 应届生可月付朝南一居 1室1厅
0,,余杭闲林绿城桃源小镇,,--87.00㎡南3室1厅1卫,,,,整租·绿城桃源小镇 3室1厅 南
1,闲林,美好生活公寓,7.643,70.00㎡2间在租2室2厅1卫,/apartment/38361.html,,今天维护,独栋·美好生活公寓 绿城闲林店 米兰风情两居 2室2厅
0,,余杭未来科技城兴隆小区,,--116.00㎡南北3室3厅1卫,,,,整租·兴隆小区 3室3厅 南/北
