advertisement,city,community,distance,houseInfo,link,position,price,time,title,url
1,未来科技城,,,未来科技城区域优质商家，租房更省心,/zufang/weilaikejicheng/ab200306003080,,,,精选公寓·方隅公寓,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城金汇公寓,3.227,--62.20㎡南北2室2厅1卫,/zufang/HZ2814403557099307008.html,"(30.286964066558873, 120.0252717170573)",2500,,整租·金汇公寓2室2厅南/北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,,,28.00㎡4间在租1室1厅1卫,/apartment/1581.html,2,,,独栋·海港城社区店丨咫尺阿里丨朝南跃层1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城众安学君里,3.832,--89.00㎡南3室2厅1卫,/zufang/HZ2807858538234249216.html,"(30.252119086759578, 119.97109302530896)",3200,,整租·众安学君里3室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,方隅公寓,173.751,43.00㎡3间在租1室0厅1卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,,独栋·方隅公寓杭州方隅公寓全球阿里旁一室户型开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城庭院深深,4.095,--89.00㎡南3室2厅1卫,/zufang/HZ2808016599784112128.html,"(30.25131966830845, 119.96755630668562)",3000,,整租·庭院深深3室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,优家社区,183.539,31.00㎡1间在租1室0厅1卫,/apartment/23519.html,"(31.26881085643081, 121.53175601831957)",,,独栋·优家社区杭州余杭区文一西路1500号科创中心7号楼拎包入住高颜值邻居开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城佳源未来府,4.654,--89.00㎡南2室2厅1卫,/zufang/HZ2806378997053923328.html,"(30.27722793129022, 119.94407504980755)",4000,,整租·佳源未来府2室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城中南未来里,5.628,--70.72㎡南3室1厅1卫,/zufang/HZ2815197634149482496.html,"(30.293021116548257, 120.0493327403115)",9000,,整租·中南未来里3室1厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城众安学君里,3.832,--89.00㎡西南2室2厅1卫,/zufang/HZ2770415253580677120.html,"(30.252119086759578, 119.97109302530896)",2300,,整租·众安学君里2室2厅西南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城青枫墅园三期,3.227,--87.37㎡南3室2厅1卫,/zufang/HZ2772278340894064640.html,"(30.286964066558873, 120.0252717170573)",3100,,整租·青枫墅园三期3室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城大华海派风范,3.213,--180.00㎡南5室2厅2卫,/zufang/HZ2807292649139077120.html,"(30.275126262573693, 119.95962157411597)",6500,,整租·大华海派风范5室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,途步酒店式公寓,168.367,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,"(31.327793803870186, 121.26641875881816)",,,独栋·途步酒店式公寓余勋工业园店人工智能小镇旁开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城阳光城未来悦MAX,0.783,--89.00㎡南3室2厅2卫,/zufang/HZ2773875328534724608.html,"(30.274755109112583, 119.99528160794559)",6500,,整租·阳光城未来悦MAX3室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,途步酒店式公寓,168.367,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,"(31.327793803870186, 121.26641875881816)",,,独栋·途步酒店式公寓余勋工业园店未来科技城精装公寓开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林绿城桃源小镇,5.954,--88.00㎡南3室2厅2卫,/zufang/HZ2815936458727636992.html,"(30.230505491386737, 119.97271015488802)",3800,,整租·绿城桃源小镇3室2厅南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城瑞城温莎郡,2.673,--265.00㎡南4室2厅3卫,/zufang/HZ2773193771498872832.html,"(30.261514295815076, 119.9765124126201)",3900,,整租·瑞城温莎郡4室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,闲林,柚米国际社区,1137.634,23.00㎡1间在租1室1厅1卫,/apartment/17959.html,"(40.134496460827265, 116.61036592596209)",,,独栋·柚米国际社区杭州西溪湿地店舒适特惠一居1室1厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城中南樾府,0.931,--127.48㎡南4室2厅2卫,/zufang/HZ2773948893975543808.html,"(30.274462395908238, 119.99788444816075)",8000,,整租·中南樾府4室2厅南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
