advertisement,area,city,community,direction,distance,houseInfo,lat,layout,link,lng,price,time,title,url
0,171.42㎡,翡翠城,余杭翡翠城翡翠城一期,东南北,,--171.42㎡东南北4室2厅2卫,,4室2厅2卫,/zufang/HZ2734087990048456704.html,,7600,5天前维护,整租·翡翠城一期4室2厅东/南/北,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城翡翠城一期,11.30㎡,,精选--11.30㎡南4室1厅2卫,,南,/zufang/HZ2825369230361231360.html,,1330,友家2天前维护,合租·翡翠城一期4居室南卧,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,144.10㎡,翡翠城,余杭翡翠城翡翠城一期,南,,--144.10㎡南3室2厅2卫,,3室2厅2卫,/zufang/HZ2749264598984302592.html,,5300,3天前维护,整租·翡翠城一期3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城翡翠城一期,16.10㎡,,精选--16.10㎡南4室1厅2卫,,南,/zufang/HZ2825374604808159232.html,,1490,友家2天前维护,合租·翡翠城一期4居室南卧,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,152.00㎡,翡翠城,余杭翡翠城翡翠城一期,南,,--152.00㎡南3室2厅2卫,,3室2厅2卫,/zufang/HZ2807103924081786880.html,,6500,1天前维护,整租·翡翠城一期3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,翡翠城,米果公寓,,,50.00㎡1间在租1室0厅1卫,,,/apartment/2273.html,,,米果公寓2个月前维护,独栋·米果公寓五常部落特惠四人间开间,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,221.99㎡,翡翠城,余杭翡翠城金都雅苑,南北,,--221.99㎡南北5室1厅3卫,,5室1厅3卫,/zufang/HZ2775250439950835712.html,,6000,链家3天前维护,整租·金都雅苑5室1厅跃层南/北,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,279.00㎡,翡翠城,余杭翡翠城翡翠城三期,南,,--279.00㎡南5室2厅3卫,,5室2厅3卫,/zufang/HZ2775295472129015808.html,,9500,2天前维护,整租·翡翠城三期5室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,160.00㎡,翡翠城,余杭翡翠城翡翠城一期,南,,--160.00㎡南3室2厅2卫,,3室2厅2卫,/zufang/HZ2566659890802065408.html,,6500,3天前维护,整租·翡翠城一期3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,88.47㎡,翡翠城,余杭翡翠城翡翠城三期,南,,--88.47㎡南3室2厅1卫,,3室2厅1卫,/zufang/HZ2760884812561514496.html,,5500,链家5天前维护,整租·翡翠城三期3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,155.50㎡,翡翠城,余杭翡翠城翡翠城一期,南,,--155.50㎡南3室2厅1卫,,3室2厅1卫,/zufang/HZ2778061944929140736.html,,6000,今天维护,整租·翡翠城一期3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,翡翠城,和居公寓,,,38.00㎡1间在租1室1厅1卫,,,/apartment/2656.html,,,和居公寓2天前维护,独栋·和居公寓五常店近阿里，恒生，可月付1室1厅,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,70.00㎡,翡翠城,余杭翡翠城华元西溪欢乐城,东南,,--70.00㎡东南2室1厅2卫,,2室1厅2卫,/zufang/HZ2581958668387876864.html,,4500,3天前维护,整租·华元西溪欢乐城2室1厅东南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,翡翠城,和居公寓,,,28.00㎡1间在租1室1厅1卫,,,/apartment/2656.html,,,和居公寓2天前维护,独栋·和居公寓五常店环保家装清新自然1室1厅,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,244.00㎡,翡翠城,余杭翡翠城金都梧桐苑,南,,--244.00㎡南4室2厅2卫,,4室2厅2卫,/zufang/HZ2778960513122705408.html,,8500,4天前维护,整租·金都梧桐苑4室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,194.25㎡,翡翠城,余杭翡翠城西溪华东园,南,,--194.25㎡南4室2厅2卫,,4室2厅2卫,/zufang/HZ2762369149324754944.html,,8000,4天前维护,整租·西溪华东园4室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,377.34㎡,翡翠城,余杭翡翠城溪上玫瑰园,南,,--377.34㎡南4室2厅3卫,,4室2厅3卫,/zufang/HZ2765946685451403264.html,,18000,1天前维护,整租·溪上玫瑰园4室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,15.00㎡,翡翠城,余杭翡翠城翡翠城一期,北,,--15.00㎡北4室2厅2卫,,4室2厅2卫,/zufang/HZ2781926852367745024.html,,1800,1天前维护,合租·翡翠城一期4居室北卧,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,135.66㎡,翡翠城,余杭翡翠城翡翠城三期,南北,,--135.66㎡南北3室2厅2卫,,3室2厅2卫,/zufang/HZ2628277687365402624.html,,5400,链家4天前维护,整租·翡翠城三期3室2厅南/北,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,200.00㎡,翡翠城,余杭翡翠城金都雅苑,南,,--200.00㎡南4室2厅2卫,,4室2厅2卫,/zufang/HZ2637496988614541312.html,,8000,3天前维护,整租·金都雅苑4室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,90.47㎡,翡翠城,余杭翡翠城翡翠城二期,南,,--90.47㎡南2室1厅1卫,,2室1厅1卫,/zufang/HZ2783895644665298944.html,,4500,2天前维护,整租·翡翠城二期2室1厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,87.38㎡,西溪,西湖西溪西溪诚园致诚苑,南北,,--87.38㎡南北2室1厅1卫,,2室1厅1卫,/zufang/HZ2823897840039247872.html,,9000,链家2天前维护,整租·西溪诚园致诚苑2室1厅南/北,https://hz.lianjia.com/zufang/xixi/pg1/
1,,翡翠城,和居公寓,,,58.00㎡1间在租2室1厅1卫,,,/apartment/2656.html,,,和居公寓2天前维护,独栋·和居公寓五常店两室一厅特价房2室1厅,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,西溪,氧气公寓,,,25.00㎡2间在租1室0厅1卫,,,/apartment/1838.html,,,氧气公寓今天维护,独栋·氧气公寓骆家庄文新地铁站店一室一卫朝南阳光房开间,https://hz.lianjia.com/zufang/xixi/pg1/
